v2_latent_discrepancy_timesteps,v2_latent_discrepancy_score,v2_latent_discrepancy_score_mean,v3_latent_plus_clamped_eme_timesteps,v3_latent_plus_clamped_eme_score,v3_latent_plus_clamped_eme_score_mean,v4_latent_plus_normalised_eme_timesteps,v4_latent_plus_normalised_eme_score,v4_latent_plus_normalised_eme_score_mean
12288.0,1.0,1.0,12288.0,0.00012491792441930252,0.00012491792441930252,12288.0,0.00012491792441930252,0.00012491792441930252
24576.0,1.0,1.0,24576.0,0.01753991258253033,0.008832415253474817,24576.0,0.017520227091154084,0.008822572507786694
36864.0,1.0,1.0,36864.0,0.33629735217740137,0.11798739422811699,36864.0,0.334680057130754,0.1174417340487758
49152.0,1.0,1.0,49152.0,0.6120652866860231,0.24150686734259352,49152.0,0.5951282450308403,0.2368633617942919
61440.0,1.0,1.0,61440.0,0.6281443228945136,0.31883435845297753,61440.0,0.6634885308643182,0.3221883956082972
73728.0,1.0,1.0,73728.0,1.2595263651261728,0.4756163595651768,73728.0,2.0993611961603165,0.6183838623669671
86016.0,1.0,1.0,86016.0,2.0308162520329156,0.6977877727748538,86016.0,3.9000271782279015,1.0871900503471006
98304.0,1.0,1.0,98304.0,1.5643276584645112,0.806105258486061,98304.0,0.8598808292299509,1.058776397707457
110592.0,1.0,1.0,110592.0,13.143975247939428,2.176979701758657,110592.0,17.607506255308788,2.8975241596631602
122880.0,1.0,1.0,122880.0,17.231674432754517,3.682449174858243,122880.0,22.619543711344402,4.869726114831285
135168.0,1.0,1.0,135168.0,8.399129942059517,4.522349677271753,135168.0,32.05666524171829,8.075380147210671
147456.0,1.0,1.0,147456.0,51.29314915339152,9.649910601352653,147456.0,103.6631691455841,18.439945039059968
159744.0,1.0,1.0,159744.0,69.17439723014832,16.533720589149745,159744.0,197.92832485834757,38.19930951918165
172032.0,1.0,1.0,172032.0,64.83053572972615,22.955567633453757,172032.0,128.1911447842916,50.95891117310773
184320.0,1.0,1.0,184320.0,26.73564871152242,25.566318072316548,184320.0,53.21310889720917,56.21387320974221
196608.0,1.0,1.0,196608.0,61.05229512850443,31.545594948654372,196608.0,35.09794386227926,59.513731476354096
208896.0,1.0,1.0,208896.0,74.13383706410725,38.755897029861806,208896.0,43.307143767674766,63.4544431352988
221184.0,1.0,1.0,221184.0,25.529687146345776,41.152432978649934,221184.0,46.25526237487793,67.9939812898636
233472.0,1.0,1.0,233472.0,156.00707213083902,55.43874266693989,233472.0,24.317107498645782,68.66494141419727
245760.0,1.0,1.0,245760.0,46.99985158443451,58.41556038210789,245760.0,28.631251235802967,69.26611216664315
258048.0,1.0,1.0,258048.0,18.174762437740963,59.39312363167603,258048.0,20.51563836137454,68.11200947860877
270336.0,1.0,1.0,270336.0,2.404578441133102,54.5042665604502,270336.0,30.637128512064617,60.80940541525681
282624.0,1.0,1.0,282624.0,36.816545049349465,51.26848134237031,282624.0,143.0467693010966,55.321249859531726
294912.0,1.0,1.0,294912.0,16.83919569849968,46.46934733924766,294912.0,32.03135246038437,45.705270627141
307200.0,1.0,1.0,307200.0,296.75316858291626,73.47109932638705,307200.0,124.3458604812622,52.818545785546306
319488.0,1.0,1.0,319488.0,269.7827253341675,94.34414234695335,319488.0,90.52419018745422,58.36117041806381
331776.0,1.0,1.0,331776.0,496.54987144470215,136.58574578501285,331776.0,86.77805240948994,62.70826128224532
344064.0,1.0,1.0,344064.0,316.01267194747925,165.6340442651262,344064.0,46.486087918281555,62.73134383658568
356352.0,1.0,1.0,356352.0,282.8787881533305,178.32121586737534,356352.0,477.49480470021564,108.04911355674267
368640.0,1.0,1.0,368640.0,477.168340365092,221.33806474544107,368640.0,730.8063729604086,178.2666257292032
380928.0,1.0,1.0,380928.0,323.27577177683514,251.8481656793505,380928.0,373.85832532246906,213.60089442531267
393216.0,1.0,1.0,393216.0,687.6050834655762,320.36821618179476,393216.0,272.54587507247925,237.79176908135415
405504.0,1.0,1.0,405504.0,1108.102144241333,427.49677610099315,405504.0,335.3973027865092,257.02682242989533
417792.0,1.0,1.0,417792.0,1483.6236368815105,574.1752202192943,417792.0,463.79486179351807,300.20317336320875
430080.0,1.0,1.0,430080.0,2062.0672289530435,750.706626256307,430080.0,66.61735161145528,294.43032247622807
442368.0,1.0,1.0,442368.0,633.3963394165039,787.0679876645406,442368.0,47.06348852316538,290.0842523097992
454656.0,1.0,1.0,454656.0,2670.518965403239,1004.4648970603943,454656.0,79.83869735399882,289.39031680425006
466944.0,1.0,1.0,466944.0,1291.031716664632,1101.9668015321097,466944.0,175.8241146405538,302.32411947647734
479232.0,1.0,1.0,479232.0,478.66262849171954,1121.5451855659487,479232.0,338.97645568847656,288.47228457530343
491520.0,1.0,1.0,491520.0,1535.7292594909668,1227.401277478536,491520.0,90.36548558870952,224.4281958381335
503808.0,1.0,1.0,503808.0,2255.015817006429,1420.5752820014955,503808.0,102.85090152422588,197.3274534583092
516096.0,1.0,1.0,516096.0,2279.9858881632485,1579.8133624712627,516096.0,179.30425771077475,188.00329172213873
528384.0,1.0,1.0,528384.0,4060.0849634806314,1875.0116443951924,528384.0,715.1041831970215,225.97397976319
540672.0,1.0,1.0,540672.0,1050.2789847056072,1831.6771791776023,540672.0,1802.2358996073406,359.81808354457223
552960.0,1.0,1.0,552960.0,1845.5065282185872,1810.0211091041565,552960.0,313.8824470837911,384.5445930918058
565248.0,1.0,1.0,565248.0,990.0346463521322,1845.684939797719,565248.0,263.9768382708232,406.2359280665716
577536.0,1.0,1.0,577536.0,499.2592131296794,1628.5589645703633,577536.0,701.236541112264,468.3757124423981
589824.0,1.0,1.0,589824.0,366.3448708852132,1536.0902799924213,589824.0,2025.756009419759,653.3689019203186
602112.0,1.0,1.0,602112.0,1008.119208017985,1589.0359379450479,602112.0,3056.4829076131186,925.1195471127828
614400.0,1.0,1.0,614400.0,1163.4951871236165,1551.8125307083128,614400.0,8145.088902791341,1730.591888833046
626688.0,1.0,1.0,626688.0,695.5951391855875,1395.8704629262288,626688.0,3511.3796463012695,2071.44476331075
638976.0,1.0,1.0,638976.0,990.707103729248,1266.9425844828288,638976.0,5478.272944132487,2601.3416319529215
651264.0,1.0,1.0,651264.0,562.0178419748942,917.135872332255,651264.0,3527.9418156941733,2882.625395202637
663552.0,1.0,1.0,663552.0,258.84605582555133,837.9925794442495,663552.0,919.8566614786783,2794.387471389771
675840.0,1.0,1.0,675840.0,5102.449727376302,1163.6868993600208,675840.0,401.7349287668864,2803.17271955808
688128.0,1.0,1.0,688128.0,661.1253534952799,1130.7959700743356,688128.0,146.21073945363364,2791.396109676361
700416.0,1.0,1.0,700416.0,1666.97359085083,1247.5674078464506,700416.0,70.57081945737202,2728.329537510872
712704.0,1.0,1.0,712704.0,456.21021302541095,1256.5539420604705,712704.0,210.08104801177979,2546.7620413700743
724992.0,1.0,1.0,724992.0,119.40182526906331,1167.6822037855784,724992.0,181.90627829233804,2259.304378437996
737280.0,1.0,1.0,737280.0,398.45107555389404,1091.1777926286063,737280.0,166.57265853881836,1461.4527540127438
749568.0,1.0,1.0,749568.0,659.1246668497721,1087.5307453950243,749568.0,199.61178143819174,1130.275967526436
761856.0,1.0,1.0,761856.0,276.8198040326436,1016.1420154253643,761856.0,246.44138479232788,607.0928115924199
774144.0,1.0,1.0,774144.0,15.277610133091608,961.4679922411837,774144.0,219.94104274113974,276.2927342971166
786432.0,1.0,1.0,786432.0,34.84369174639384,939.0677558332682,786432.0,203.2061907450358,204.62768722375233
798720.0,1.0,1.0,798720.0,36.87584696213404,432.5103677918514,798720.0,228.59867223103842,187.31406157016755
811008.0,1.0,1.0,811008.0,34.38449819882711,369.8362822622061,811008.0,222.24392366409302,194.9173799912135
823296.0,1.0,1.0,823296.0,20.051432361205418,205.1440664132436,823296.0,163.61344067255655,204.22164211273196
835584.0,1.0,1.0,835584.0,28.565811852614086,162.37962629596393,835584.0,123.07404613494873,195.52094192504885
847872.0,1.0,1.0,847872.0,49.566728393236794,155.39611660838128,847872.0,118.6057681242625,189.1908909082413
860160.0,1.0,1.0,860160.0,38.6714840332667,119.41815745631857,860160.0,78.92745435237885,180.42637048959733
872448.0,1.0,1.0,872448.0,16.77974145611127,55.18366491695245,872448.0,90.27155844370525,169.49234819014868
884736.0,1.0,1.0,884736.0,5.57073978583018,28.058758492271103,884736.0,61.231953263282776,150.97140503724418
897024.0,1.0,1.0,897024.0,1.9109378792345524,26.7220912668854,897024.0,45.98462541898092,133.57576330502826
909312.0,1.0,1.0,909312.0,2.9860736479361853,23.536329457039635,909312.0,67.84252750873566,120.03939698139827
921600.0,1.0,1.0,921600.0,11.357207298278809,20.98446549065411,921600.0,174.10361242294312,114.58989100058872
933888.0,1.0,1.0,933888.0,24.260022282600403,19.97201789903144,933888.0,48.522765715916954,97.21777520577112
946176.0,1.0,1.0,946176.0,30.567922015984852,21.023666864509384,946176.0,269.11171929041546,107.76760306755702
958464.0,1.0,1.0,958464.0,32.52126580476761,21.419212259724738,958464.0,365.9753068288167,132.0577291369438
970752.0,1.0,1.0,970752.0,22.33659150203069,18.696198570604125,970752.0,194.96564849217734,139.69371717373528
983040.0,1.0,1.0,983040.0,45.8486123085022,19.413911398127674,983040.0,179.15515518188477,149.7164872566859
995328.0,1.0,1.0,995328.0,61.152151783307396,23.851152430847286,995328.0,1337.4127419789631,274.43060561021167
1007616.0,1.0,1.0,1007616.0,22.299917221069336,25.524070174371204,1007616.0,1475.8974380493164,415.897154088815
1019904.0,1.0,1.0,1019904.0,258.480529944102,51.18102938085794,1019904.0,1311.9694023132324,542.4956317782402
1032192.0,1.0,1.0,1032192.0,88.25483520825703,59.70790553689003,1032192.0,951.4310302734375,630.8544820547104
1044480.0,1.0,1.0,1044480.0,440.96105575561523,102.66829038262367,1044480.0,1481.4529762268066,761.5894184350967
1056768.0,1.0,1.0,1056768.0,71.67972119649251,107.41026027401287,1056768.0,946.8829288482666,851.4254347483317
1069056.0,1.0,1.0,1069056.0,1107.3615703582764,215.08962510824205,1069056.0,266.9393684069316,851.2081996599833
1081344.0,1.0,1.0,1081344.0,477.71707503000897,259.60920603076613,1081344.0,95.15571943918864,824.1262409210206
1093632.0,1.0,1.0,1093632.0,801.6136792500814,337.5369148055712,1093632.0,262.2313100496928,830.8528070767721
1105920.0,1.0,1.0,1105920.0,1210.8083159128826,454.03288516600935,1105920.0,253.13727776209512,838.2510193347931
1118208.0,1.0,1.0,1118208.0,3300.6951065063477,777.9871806383132,1118208.0,215.61384423573813,726.0711295604706
1130496.0,1.0,1.0,1130496.0,3891.1727574666343,1164.8744646628697,1130496.0,75.78024133046468,586.0594098885854
1142784.0,1.0,1.0,1142784.0,16242.981160481771,2763.3245277166366,1142784.0,187.155543645223,473.5780240217844
1155072.0,1.0,1.0,1155072.0,10242.638636271158,3778.762907822927,1155072.0,517.1808576583862,430.15300676027937
1167360.0,1.0,1.0,1167360.0,2209.691121419271,3955.635914389293,1167360.0,475.93653361002606,329.6013624986013
1179648.0,1.0,1.0,1179648.0,2934.2351888020835,4241.891461149852,1179648.0,210.01654402414957,255.91472401618958
1191936.0,1.0,1.0,1191936.0,1306.1691487630208,4261.772218990327,1191936.0,43.24993109703064,233.5457802851995
1204224.0,1.0,1.0,1204224.0,322.72047821680707,4246.272559309005,1204224.0,223.80899143218994,246.41110748449964
1216512.0,1.0,1.0,1216512.0,318.32830397288006,4197.944021781285,1216512.0,433.9362487792969,263.58160135746004
1228800.0,1.0,1.0,1228800.0,352.41619332631427,4112.104809522629,1228800.0,384.123246828715,276.680198264122
1241088.0,1.0,1.0,1241088.0,214.598845799764,3803.4951834519716,1241088.0,250.42463064193726,280.1612769047419
1253376.0,1.0,1.0,1253376.0,45.038854678471886,3418.881793173155,1253376.0,375.74164326985675,310.15741709868115
1265664.0,1.0,1.0,1265664.0,16.53391695022583,1796.2370688199996,1265664.0,573.0149377187093,348.7433565060298
1277952.0,1.0,1.0,1277952.0,21.833526492118835,774.1565578420957,1277952.0,762.1753444671631,373.2428051869075
1290240.0,1.0,1.0,1290240.0,39.28376489877701,557.1158221900463,1290240.0,608.0175355275472,386.45090537865957
1302528.0,1.0,1.0,1302528.0,35.77477612098058,267.26978092193605,1302528.0,139.42800863583884,379.3920518398285
1314816.0,1.0,1.0,1314816.0,16.46542963385582,138.2994090090195,1314816.0,1722.154125213623,547.2824712514878
