v1_adventurer_(bigan_novelty)_timesteps,v1_adventurer_(bigan_novelty)_score,v1_adventurer_(bigan_novelty)_score_mean,v2_latent_discrepancy_timesteps,v2_latent_discrepancy_score,v2_latent_discrepancy_score_mean,v3_latent_plus_clamped_eme_timesteps,v3_latent_plus_clamped_eme_score,v3_latent_plus_clamped_eme_score_mean,v4_latent_plus_normalised_eme_timesteps,v4_latent_plus_normalised_eme_score,v4_latent_plus_normalised_eme_score_mean
18466.0,0.0,0.0,18466.0,0.0,0.0,18466.0,0.0,0.0,18466.0,0.0,0.0
21309.0,0.0,0.0,21309.0,0.0,0.0,21309.0,0.0,0.0,18507.0,0.0,0.0
21953.0,0.0,0.0,21953.0,0.0,0.0,21953.0,0.0,0.0,20498.0,0.0,0.0
22624.0,0.0,0.0,22624.0,0.0,0.0,22624.0,0.0,0.0,21309.0,0.0,0.0
22866.0,0.0,0.0,22866.0,0.0,0.0,22866.0,0.0,0.0,21953.0,0.0,0.0
23619.0,0.0,0.0,23619.0,0.0,0.0,23619.0,0.0,0.0,22797.0,0.0,0.0
23787.0,0.0,0.0,23787.0,0.0,0.0,23787.0,0.0,0.0,23523.0,0.0,0.0
25461.0,0.0,0.0,24105.0,0.0,0.0,24105.0,0.0,0.0,25714.0,0.0,0.0
25588.0,0.0,0.0,25388.0,0.0,0.0,25388.0,0.0,0.0,26025.0,0.0,0.0
25678.0,0.0,0.0,25461.0,0.0,0.0,25461.0,0.0,0.0,26448.0,0.0,0.0
25714.0,0.0,0.0,25678.0,0.0,0.0,25678.0,0.0,0.0,26472.0,0.0,0.0
26025.0,0.0,0.0,25714.0,0.0,0.0,25714.0,0.0,0.0,26615.0,0.0,0.0
26448.0,0.0,0.0,26448.0,0.0,0.0,26448.0,0.0,0.0,27172.0,0.0,0.0
26615.0,0.0,0.0,26615.0,0.0,0.0,26615.0,0.0,0.0,27424.0,0.0,0.0
27172.0,0.0,0.0,27172.0,0.0,0.0,27172.0,0.0,0.0,27687.0,0.0,0.0
29833.0,0.0,0.0,28507.0,0.0,0.0,28507.0,0.0,0.0,27903.0,0.0,0.0
30381.0,0.0,0.0,30292.0,0.0,0.0,30292.0,0.0,0.0,29206.0,0.0,0.0
31734.0,0.0,0.0,30474.0,0.0,0.0,30474.0,0.0,0.0,29479.0,0.0,0.0
32520.0,0.0,0.0,32520.0,0.0,0.0,32520.0,0.0,0.0,30357.0,0.0,0.0
32684.0,0.0,0.0,34108.0,0.0,0.0,34108.0,0.0,0.0,30474.0,0.0,0.0
33153.0,0.0,0.0,34559.0,0.0,0.0,34559.0,0.0,0.0,30626.0,0.0,0.0
34267.0,0.0,0.0,34617.0,0.0,0.0,34617.0,0.0,0.0,31405.0,0.0,0.0
34379.0,0.0,0.0,34710.0,0.0,0.0,34710.0,0.0,0.0,32251.0,0.0,0.0
34559.0,0.0,0.0,34931.0,0.0,0.0,34931.0,0.0,0.0,32543.0,0.0,0.0
34617.0,0.0,0.0,35550.0,0.0,0.0,35550.0,0.0,0.0,32684.0,0.0,0.0
34867.0,0.0,0.0,37562.0,0.0,0.0,37562.0,0.0,0.0,33172.0,0.0,0.0
34931.0,0.0,0.0,37623.0,0.0,0.0,37623.0,0.0,0.0,33615.0,0.0,0.0
35550.0,0.0,0.0,38377.0,0.0,0.0,38377.0,0.0,0.0,34206.0,0.0,0.0
36070.0,0.0,0.0,41477.0,0.0,0.0,41477.0,0.0,0.0,34379.0,0.0,0.0
36294.0,0.0,0.0,42310.0,0.0,0.0,42310.0,0.0,0.0,34617.0,0.0,0.0
37562.0,0.0,0.0,43015.0,0.0,0.0,43015.0,0.0,0.0,34710.0,0.0,0.0
